relative_path,image_id,category,license,author,author_profile_url,title,original_url,original_landing_url,original_md5,openimages_subset,openimages_metadata_file,note
Gallery_images/OpenImage/Airplane/00050b668cad53d8.jpg,00050b668cad53d8,Airplane,https://creativecommons.org/licenses/by/2.0/,Milton Jung,,Restos da Vasp,https://c1.staticflickr.com/5/4026/4266784167_62c334d03c_o.jpg,,ehVM4szlBsYjqhDblxYmmQ==,train,train-images-with-labels-with-rotation.csv,Image file is not redistributed in this metadata-only release.
Gallery_images/OpenImage/Airport/008f42d7d3953e0b.jpg,008f42d7d3953e0b,Airport,https://creativecommons.org/licenses/by/2.0/,Nayuki,,Tarmac at Atlanta International Airport,https://c4.staticflickr.com/3/2642/3827775894_933d0cf4ea_o.jpg,,2bTzIzmvchogdZjLEhVmjQ==,train,train-images-with-labels-with-rotation.csv,Image file is not redistributed in this metadata-only release.
Gallery_images/OpenImage/Apartment/002f3ba9bf317455.jpg,002f3ba9bf317455,Apartment,https://creativecommons.org/licenses/by/2.0/,Gary Bembridge,,Ferry from Battery Park New York to Liberty Island (10),https://farm6.staticflickr.com/3401/3441867516_98a1b44cb4_o.jpg,,FcEP1Txnmp9pMroboo12BA==,train,train-images-with-labels-with-rotation.csv,Image file is not redistributed in this metadata-only release.
Gallery_images/OpenImage/Aurora/51f6085bd0b94bd9.jpg,51f6085bd0b94bd9,Aurora,https://creativecommons.org/licenses/by/2.0/,Les Haines,,Seahouses Northumberland #stcuthbertsway #dailyshoot #iphone #sepia,https://c2.staticflickr.com/6/5474/14578697125_1cfc5c04b6_o.jpg,,fPIPLB8x4fWL+gg5MXlkyQ==,train,train-images-with-labels-with-rotation.csv,Image file is not redistributed in this metadata-only release.
Gallery_images/OpenImage/Bag/000161230ca61936.jpg,000161230ca61936,Bag,https://creativecommons.org/licenses/by/2.0/,edwin,,IMG_0491,https://farm7.staticflickr.com/4102/5442012596_c2fb496561_o.jpg,,p7oaFwWkR85Mzp/Pf6MoYQ==,train,train-images-with-labels-with-rotation.csv,Image file is not redistributed in this metadata-only release.
Gallery_images/OpenImage/Balcony/00056ff9ceb0c343.jpg,00056ff9ceb0c343,Balcony,https://creativecommons.org/licenses/by/2.0/,Cristiano Cani,,Palazzi Allicchiriti per il Papa,https://farm4.staticflickr.com/3206/2836919048_d26772eeee_o.jpg,,gkToGNEFyO4hEQunEF7qSg==,train,train-images-with-labels-with-rotation.csv,Image file is not redistributed in this metadata-only release.
Gallery_images/OpenImage/Banknote/0090efd413d4b931.jpg,0090efd413d4b931,Banknote,https://creativecommons.org/licenses/by/2.0/,DISCARDEDteenz,,Money,https://farm2.staticflickr.com/2465/3616816894_32cbac3a5b_o.jpg,,YWm7LConWZNTe5m2R9jVug==,train,train-images-with-labels-with-rotation.csv,Image file is not redistributed in this metadata-only release.
Gallery_images/OpenImage/Banner/000067f3419a12fe.jpg,000067f3419a12fe,Banner,https://creativecommons.org/licenses/by/2.0/,Matthew Wilkinson,,"Paul Jones, FC United",https://c7.staticflickr.com/8/7266/7630204884_f066e6b693_o.jpg,,VEB5CJSLIaOiWqD7Fe2+MA==,train,train-images-with-labels-with-rotation.csv,Image file is not redistributed in this metadata-only release.
Gallery_images/OpenImage/Barometer/47ff048d568062c4.jpg,47ff048d568062c4,Barometer,https://creativecommons.org/licenses/by/2.0/,Tristan Schmurr,,Barometer,https://farm5.staticflickr.com/7164/6460697473_27c677f41e_o.jpg,,ed/yoZ+JP/bVP6rxxgZhlQ==,test,test-images-with-rotation.csv,Image file is not redistributed in this metadata-only release.
Gallery_images/OpenImage/Bathroom/0016e05dce46eae4.jpg,0016e05dce46eae4,Bathroom,https://creativecommons.org/licenses/by/2.0/,SuSanA Secretariat,,UDDT in Taldy Suu,https://farm5.staticflickr.com/7191/6966399269_bca91cac67_o.jpg,,uVvD3ky0eEjkLDHjOE1cYw==,train,train-images-with-labels-with-rotation.csv,Image file is not redistributed in this metadata-only release.
